time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-21T20:44:27.912Z,1.3558,-85.2822,10,4.7,mb,35,156,8.113,1.04,us,us6000jaxg,2022-12-23T19:34:42.040Z,"off the coast of Ecuador",earthquake,5.18,1.919,0.098,32,reviewed,us,us
2022-12-21T18:53:54.676Z,7.3119,-76.9656,41.823,4.9,mb,41,154,1.646,0.68,us,us6000jawa,2022-12-21T19:15:08.040Z,"22 km SE of Riosucio, Colombia",earthquake,2.32,9.741,0.119,22,reviewed,us,us
2022-12-21T17:57:59.168Z,47.3143,152.3039,112.465,5,mb,57,137,6.521,0.73,us,us6000jaw4,2022-12-21T18:14:47.040Z,"Kuril Islands",earthquake,11.15,5.663,0.085,44,reviewed,us,us
2022-12-21T17:33:11.758Z,-21.3251,-66.6668,230.133,4.8,mb,35,109,2.142,1.46,us,us6000javz,2022-12-21T18:01:02.040Z,"63 km SW of Atocha, Bolivia",earthquake,8.2,8.161,0.139,16,reviewed,us,us
2022-12-21T16:54:23.873Z,19.4446,-108.7173,10,5.3,mww,132,101,6.626,0.55,us,us6000javv,2022-12-22T01:13:25.040Z,"Revilla Gigedo Islands region",earthquake,8.53,1.795,0.042,55,reviewed,us,us
2022-12-21T15:42:39.815Z,-24.2349,-66.95,166.622,4.5,mb,28,45,2.573,0.67,us,us6000javl,2022-12-21T22:27:18.040Z,"64 km W of San Antonio de los Cobres, Argentina",earthquake,7.87,12.624,0.18,9,reviewed,us,us
2022-12-21T11:16:19.231Z,-6.1282,151.7701,10,5.3,mww,64,60,8.744,0.61,us,us6000jau3,2022-12-22T05:50:50.176Z,"191 km ESE of Kimbe, Papua New Guinea",earthquake,8.76,1.861,0.08,15,reviewed,us,us
2022-12-21T09:43:57.789Z,-24.3544,-67.0394,160.919,4.6,mb,36,70,1.744,1.07,us,us6000jatu,2022-12-21T10:01:18.040Z,"74 km WSW of San Antonio de los Cobres, Argentina",earthquake,9.86,5.175,0.114,23,reviewed,us,us
2022-12-21T08:50:50.105Z,53.9378,-160.9522,12.068,4.9,mb,89,162,1.199,0.6,us,us6000jatf,2022-12-21T20:06:16.666Z,"153 km SE of King Cove, Alaska",earthquake,7.51,4.757,0.056,101,reviewed,us,us
2022-12-21T06:59:53.297Z,-38.405,78.1337,10,4.9,mb,18,72,0.753,1.14,us,us6000jasw,2022-12-21T07:33:25.040Z,"Mid-Indian Ridge",earthquake,7.61,1.9,0.169,14,reviewed,us,us
