time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-28T17:16:36.243Z,41.8052,79.5408,10,5.6,mb,99,34,1.096,0.58,us,us7000j0ne,2022-12-30T07:04:18.220Z,"Kyrgyzstan-Xinjiang border region",earthquake,4.93,1.831,0.04,217,reviewed,us,us
2022-12-28T16:51:25.287Z,27.971,55.7503,10,4.5,mb,39,78,3.041,0.62,us,us7000j0nb,2022-12-28T22:08:37.040Z,"101 km NNW of Bandar Abbas, Iran",earthquake,6.51,1.697,0.088,38,reviewed,us,us
2022-12-28T16:47:07.745Z,33.3721,133.8746,20.119,4.6,mb,66,77,0.358,0.55,us,us7000j0n9,2022-12-29T19:18:44.660Z,"14 km S of Aki, Japan",earthquake,7.55,5.324,0.08,46,reviewed,us,us
2022-12-28T16:34:20.446Z,-21.2622,171.3631,10,6,mww,53,79,3.877,0.61,us,us7000j0n4,2022-12-29T16:48:31.577Z,"288 km SE of Isangel, Vanuatu",earthquake,8.09,1.827,0.098,10,reviewed,us,us
2022-12-28T16:14:57.294Z,14.6337,39.9476,10,4.9,mb,48,62,4.182,0.37,us,us7000j0n0,2022-12-28T16:33:38.040Z,"65 km NE of ?d?grat, Ethiopia",earthquake,7.62,1.844,0.069,68,reviewed,us,us
2022-12-28T13:57:38.781Z,-19.0292,-69.7311,94.98,4.7,mb,49,109,0.7,1.53,us,us7000j0md,2022-12-28T21:24:22.518Z,"85 km SE of Arica, Chile",earthquake,3.82,5.27,0.055,102,reviewed,us,us
2022-12-28T12:24:20.786Z,38.6052,23.6935,9.037,4.8,mww,122,40,1.139,0.65,us,us7000j0m2,2022-12-29T07:59:23.585Z,"5 km NE of Psachná, Greece",earthquake,4.72,3.901,0.062,25,reviewed,us,us
2022-12-28T10:43:05.048Z,-24.3624,-179.4403,509.409,4.5,mb,29,111,5.038,0.73,us,us7000j0ls,2022-12-28T11:01:14.040Z,"south of the Fiji Islands",earthquake,14.59,12.11,0.11,25,reviewed,us,us
2022-12-28T10:13:04.335Z,73.349,7.231,10,4.5,mb,20,79,5.346,0.58,us,us7000j0lq,2022-12-28T10:43:50.040Z,"",earthquake,7.24,1.853,0.22,6,reviewed,us,us
2022-12-28T07:44:50.695Z,44.3431,148.6165,42.994,5.2,mww,88,103,4.335,0.95,us,us7000j0l1,2022-12-28T13:57:35.040Z,"114 km SSE of Kuril’sk, Russia",earthquake,8.58,6.507,0.098,10,reviewed,us,us
2022-12-28T07:17:15.942Z,20.7608,144.716,158.695,4.6,mb,61,135,16.03,0.86,us,us7000j0kx,2022-12-28T07:49:44.040Z,"Maug Islands region, Northern Mariana Islands",earthquake,13.79,8.07,0.067,66,reviewed,us,us
2022-12-28T04:18:04.289Z,23.2085,94.0109,42.578,4.5,mb,40,109,3.946,0.84,us,us7000j0kh,2022-12-28T05:09:16.040Z,"47 km NE of Falam, Myanmar",earthquake,11.29,7.495,0.104,27,reviewed,us,us
